,state,testtakers%_state,totalscore_state,verbal_state,math_state,intended_collegemajor,testtakers%_major,totalscore_major,verbal_major,math_major,testtakers#_major
0,Alabama,7.0,1143,583,560,"Agriculture, AgricultureOperations, and Related Sciences",24913.0,977.0,496.0,481.0,1.0
1,Alaska,41.0,1097,556,541,Architecture and Related Services,28988.0,1047.0,520.0,527.0,2.0
2,Arizona,31.0,1134,569,565,"Area, Ethnic, Cultural, and Gender Studies",2629.0,1040.0,536.0,504.0,0.0
3,Arkansas,6.0,1141,582,559,Biological and Biomedical Sciences,155834.0,1139.0,572.0,566.0,8.0
4,California,63.0,1065,534,531,"Business, Management, Marketing, and Related Support Services",221523.0,1072.0,534.0,537.0,12.0
5,Colorado,100.0,1024,518,506,"Communication, Journalism, and Related Programs",36332.0,1069.0,550.0,519.0,2.0
6,Connecticut,100.0,1046,529,516,Computer and Information Sciences and Support Services,79736.0,1156.0,571.0,585.0,4.0
7,Delaware,100.0,985,499,486,"Construction Trades, General",2500.0,919.0,459.0,460.0,0.0
8,District of Columbia,94.0,975,495,480,Education,71882.0,1022.0,519.0,503.0,4.0
9,Florida,100.0,999,516,483,Engineering,194127.0,1139.0,559.0,581.0,11.0
10,Georgia,71.0,1058,538,519,Engineering Technologies/Technicians,33595.0,1041.0,512.0,528.0,2.0
11,Hawaii,54.0,1100,550,550,English Language and Literature/Letters,16233.0,1119.0,585.0,533.0,1.0
12,Idaho,100.0,993,505,488,Family and Consumer Sciences/Human Sciences,6469.0,953.0,484.0,469.0,0.0
13,Illinois,100.0,1013,509,504,"Foreign Languages and Literatures, General",9936.0,1102.0,566.0,536.0,1.0
14,Indiana,66.0,1080,543,537,Health Professions and related Clinical Sciences,331026.0,1048.0,529.0,518.0,18.0
15,Iowa,3.0,1244,622,622,"History, General",12611.0,1090.0,563.0,527.0,1.0
16,Kansas,4.0,1241,618,623,"Legal Studies, General",35788.0,1104.0,564.0,540.0,2.0
17,Kentucky,4.0,1232,620,612,"Liberal Arts and Sciences, General Studies and Humanities",8611.0,1140.0,584.0,556.0,0.0
18,Louisiana,5.0,1200,610,591,Library Science/Librarianship,283.0,1105.0,577.0,527.0,0.0
19,Maine,99.0,1013,512,502,Mathematics and Statistics,16508.0,1242.0,597.0,646.0,1.0
20,Maryland,82.0,1058,535,523,Mechanic and Repair Technologies/Technicians,6592.0,916.0,458.0,458.0,0.0
21,Massachusetts,81.0,1120,559,561,Military Technologies,7448.0,984.0,498.0,486.0,0.0
22,Michigan,100.0,1003,507,496,Multi/Interdisciplinary Studies,2979.0,1155.0,581.0,574.0,0.0
23,Minnesota,4.0,1284,636,648,Natural resources and Conservation,10147.0,1104.0,562.0,543.0,1.0
24,Mississippi,3.0,1237,628,608,"Parks, Recreation and Leisure Studies",13039.0,960.0,482.0,478.0,1.0
25,Missouri,4.0,1236,622,615,"Personal and Culinary Services, General",6668.0,929.0,474.0,456.0,0.0
26,Montana,9.0,1199,603,596,Philosophy and Religious Studies,3381.0,1120.0,572.0,548.0,0.0
27,Nebraska,3.0,1260,628,631,Physical Sciences,26318.0,1203.0,597.0,606.0,1.0
28,Nevada,20.0,1156,580,576,Precision Production,319.0,932.0,466.0,466.0,0.0
29,New Hampshire,95.0,1059,533,526,"Psychology, General",75626.0,1064.0,546.0,518.0,4.0
30,New Jersey,82.0,1090,544,545,Public Administration and Social Service Professions,7852.0,1001.0,513.0,488.0,0.0
31,New Mexico,18.0,1073,543,530,Security and Protective Services,68177.0,975.0,495.0,479.0,4.0
32,New York,79.0,1064,531,533,Social Sciences,33356.0,1164.0,594.0,570.0,2.0
33,North Carolina,51.0,1100,554,546,Theology and Religious Vocations,1991.0,1096.0,561.0,535.0,0.0
34,North Dakota,2.0,1263,627,636,Transportation and Materials Moving,1105.0,1019.0,511.0,508.0,0.0
35,Ohio,19.0,1097,550,548,"Visual and Performing Arts, General",130642.0,1045.0,536.0,510.0,7.0
36,Oklahoma,22.0,963,490,472,Other,26888.0,963.0,488.0,476.0,1.0
37,Oregon,51.0,1112,562,550,Undecided,126939.0,1069.0,538.0,532.0,7.0
38,Pennsylvania,70.0,1082,545,537,,,,,,
39,Puerto Rico,0.0,944,483,462,,,,,,
40,Rhode Island,100.0,995,503,492,,,,,,
41,South Carolina,68.0,1030,526,504,,,,,,
42,South Dakota,3.0,1268,633,635,,,,,,
43,Tennessee,7.0,1220,618,602,,,,,,
44,Texas,68.0,1022,515,507,,,,,,
45,Utah,4.0,1230,614,615,,,,,,
46,Vermont,66.0,1106,560,546,,,,,,
47,Virgin Islands,0.0,935,490,445,,,,,,
48,Virginia,68.0,1119,567,551,,,,,,
49,Washington,70.0,1074,539,535,,,,,,
50,West Virginia,99.0,943,483,460,,,,,,
51,Wisconsin,3.0,1283,635,648,,,,,,
52,Wyoming,3.0,1238,623,615,,,,,,
